,total_cup_points,species,country_of_origin,region,producer,farm_name,grading_date,variety,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,moisture,category_one_defects,quakers,category_two_defects,altitude_mean_meters,certification_body,harvest_year
0,90.58,Arabica,Ethiopia,guji-hambela,METAD PLC,metad plc,"April 4th, 2015",Other,8.67,8.83,8.67,8.75,8.5,8.42,10.0,10.0,10.0,8.75,0.12,0,0.0,0,2075.0,METAD Agricultural Development plc,2014
1,89.92,Arabica,Ethiopia,guji-hambela,METAD PLC,metad plc,"April 4th, 2015",Other,8.75,8.67,8.5,8.58,8.42,8.42,10.0,10.0,10.0,8.58,0.12,0,0.0,1,2075.0,METAD Agricultural Development plc,2014
2,89.75,Arabica,Guatemala,unknown,unknown,"san marcos barrancas ""san cristobal cuch","May 31st, 2010",Bourbon,8.42,8.5,8.42,8.42,8.33,8.42,10.0,10.0,10.0,9.25,0.0,0,0.0,0,1700.0,Specialty Coffee Association,2010
3,89.0,Arabica,Ethiopia,oromia,Yidnekachew Dabessa Coffee Plantation,yidnekachew dabessa coffee plantation,"March 26th, 2015",Other,8.17,8.58,8.42,8.42,8.5,8.25,10.0,10.0,10.0,8.67,0.11,0,0.0,2,2000.0,METAD Agricultural Development plc,2014
4,88.83,Arabica,Ethiopia,guji-hambela,METAD PLC,metad plc,"April 4th, 2015",Other,8.25,8.5,8.25,8.5,8.42,8.33,10.0,10.0,10.0,8.58,0.12,0,0.0,2,2075.0,METAD Agricultural Development plc,2014
5,88.83,Arabica,Brazil,unknown,unknown,unknown,"September 3rd, 2013",Bourbon,8.58,8.42,8.42,8.5,8.25,8.33,10.0,10.0,10.0,8.33,0.11,0,0.0,1,988.0,Specialty Coffee Institute of Asia,2013
6,88.75,Arabica,Peru,unknown,HVC,unknown,"September 17th, 2012",Other,8.42,8.5,8.33,8.5,8.25,8.25,10.0,10.0,10.0,8.5,0.11,0,0.0,0,988.0,Specialty Coffee Institute of Asia,2012
7,88.67,Arabica,Ethiopia,oromia,Bazen Agricultural & Industrial Dev't Plc,aolme,"September 2nd, 2010",Other,8.25,8.33,8.5,8.42,8.33,8.5,10.0,10.0,9.33,9.0,0.03,0,0.0,0,1635.0,Ethiopia Commodity Exchange,2010
8,88.42,Arabica,Ethiopia,oromiya,Bazen Agricultural & Industrial Dev't Plc,aolme,"September 2nd, 2010",Other,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10.0,9.33,8.67,0.03,0,0.0,0,1635.0,Ethiopia Commodity Exchange,2010
9,88.25,Arabica,Ethiopia,"snnp/kaffa zone,gimbowereda",Diamond Enterprise Plc,tulla coffee farm,"March 30th, 2015",Other,8.08,8.58,8.5,8.5,7.67,8.42,10.0,10.0,10.0,8.5,0.1,0,0.0,4,1822.5,METAD Agricultural Development plc,2014
10,88.08,Arabica,Ethiopia,oromia,Fahem Coffee Plantation,fahem coffee plantation,"March 27th, 2015",Other,8.17,8.67,8.25,8.5,7.75,8.17,10.0,10.0,10.0,8.58,0.1,0,0.0,1,1905.0,METAD Agricultural Development plc,2014
11,87.92,Arabica,Colombia,antioquia,Alfredo De Jesús López Pérez,el filo,"March 13th, 2015",Other,8.25,8.42,8.17,8.33,8.08,8.17,10.0,10.0,10.0,8.5,0.0,0,0.0,0,1872.0,Almacafé,2014
12,87.92,Arabica,Colombia,antioquia,Jorge Walter Restrepo,los cedros,"March 13th, 2015",Other,8.08,8.67,8.33,8.42,8.0,8.08,10.0,10.0,10.0,8.33,0.0,0,0.0,0,1943.0,Almacafé,2014
13,87.92,Arabica,United States,kona,"Robert, Sharon, Arianna Wood",arianna farms,"May 31st, 2010",Hawaiian Kona,8.33,8.42,8.08,8.25,8.25,8.0,10.0,10.0,10.0,8.58,0.0,0,0.0,2,609.6,Specialty Coffee Association,2010
14,87.83,Arabica,Ethiopia,oromiya,Bazen Agricultural & Industrial Dev't Plc,aolme,"August 31st, 2010",Other,8.25,8.33,8.5,8.25,8.58,8.75,9.33,10.0,9.33,8.5,0.05,0,0.0,2,1635.0,Ethiopia Commodity Exchange,2010
15,87.58,Arabica,Colombia,antioquia,María Leticia Diosa,el águila,"March 13th, 2015",Other,8.0,8.5,8.58,8.17,8.17,8.0,10.0,10.0,10.0,8.17,0.0,0,0.0,0,2080.0,Almacafé,2014
16,87.42,Arabica,Southeast Asia,sulawesi,P.T. Toarco Jaya,toarco jaya,"May 31st, 2010",Other,8.33,8.25,7.83,7.75,8.5,8.42,10.0,10.0,10.0,8.33,0.03,0,0.0,0,1500.0,Specialty Coffee Association,2010
17,87.33,Arabica,Ethiopia,yirgacheffe,Green Gold Ethiopia | Phone: 0114342032,unknown,"June 16th, 2010",Ethiopian Yirgacheffe,8.17,8.33,8.25,8.33,8.42,8.33,9.33,10.0,9.33,8.83,0.05,0,0.0,2,1875.0,Ethiopia Commodity Exchange,2009
18,87.25,Arabica,China,yunnan,Echo Coffee,echo coffee,"April 7th, 2016",Catimor,8.42,8.25,8.08,8.17,7.92,8.0,10.0,10.0,10.0,8.42,0.1,0,0.0,0,1450.0,Yunnan Coffee Exchange,2015
19,87.25,Arabica,Ethiopia,gedio,LevelUp,drima zede,"March 25th, 2015",Ethiopian Yirgacheffe,8.17,8.17,8.0,8.17,8.08,8.33,10.0,10.0,10.0,8.33,0.0,0,0.0,8,1850.0,Blossom Valley International,2014
20,87.25,Arabica,Colombia,antioquia,Nicolás Rueda Urrego,el rodeo,"March 13th, 2015",Other,8.0,8.25,8.08,8.5,8.25,8.0,10.0,10.0,10.0,8.17,0.0,0,0.0,0,2019.0,Almacafé,2014
21,87.17,Arabica,Costa Rica,san ramon,SEVERAL,several,"April 2nd, 2014",Caturra,8.08,8.25,8.0,8.17,8.0,8.33,10.0,10.0,10.0,8.33,0.11,0,0.0,2,1300.0,Specialty Coffee Association,2014
22,87.17,Arabica,Mexico,xalapa,ROBERTO LICONA FRANCO,la herradura,"July 26th, 2012",Other,8.17,8.25,8.17,8.0,7.83,8.17,10.0,10.0,10.0,8.58,0.13,0,0.0,0,1320.0,AMECAFE,2012
23,87.08,Arabica,Colombia,antioquia,Silvia Elena Higuita,la curva,"March 13th, 2015",Other,8.25,8.33,8.17,8.17,7.83,8.17,10.0,10.0,10.0,8.17,0.0,0,0.0,0,2112.0,Almacafé,2014
24,87.08,Arabica,Ethiopia,sidamo,unknown,unknown,"September 3rd, 2013",Gesha,8.42,8.17,7.92,8.17,8.33,8.0,10.0,10.0,10.0,8.08,0.11,0,0.0,1,1725.0,Specialty Coffee Institute of Asia,2013
25,86.92,Arabica,Brazil,south of minas,Ralph Junqueira,fazenda kaquend,"December 3rd, 2011",Bourbon,8.5,8.5,8.0,8.0,8.0,8.0,10.0,10.0,10.0,7.92,0.12,0,0.0,2,1250.0,NUCOFFEE,2011
26,86.92,Arabica,Ethiopia,sidamo,Green Gold Ethiopia | Phone: 0114342032,unknown,"June 16th, 2010",Gesha,7.83,8.25,8.08,8.17,8.17,8.17,10.0,10.0,10.0,8.25,0.05,0,0.0,2,1725.0,Ethiopia Commodity Exchange,2009
27,86.83,Arabica,Uganda,kapchorwa eastern,Kabum trading company,chebonet (23) women coffee,"June 26th, 2014",SL14,8.42,8.17,8.17,8.17,7.83,7.92,10.0,10.0,10.0,8.17,0.12,0,0.0,1,1950.0,Uganda Coffee Development Authority,2013
28,86.67,Arabica,Honduras,comayagua,Reinerio Zepeda,los hicaques,"May 18th, 2017",Caturra,8.17,8.08,8.08,8.0,8.08,8.0,10.0,10.0,10.0,8.25,0.1,0,0.0,3,1400.0,Instituto Hondureño del Café,2016
29,86.58,Arabica,Taiwan,"leye, alishan township, chiayi county","FANG,ZHENG-LUN 方政倫",tsoustructive garden 鄒築園,"May 18th, 2016",Sumatra,8.0,8.0,8.0,8.25,8.0,8.17,10.0,10.0,10.0,8.17,0.0,0,0.0,0,1200.0,Specialty Coffee Association,2015
30,86.58,Arabica,Nicaragua,unknown,unknown,unknown,"May 18th, 2010",Caturra,7.92,8.25,8.0,8.33,8.0,8.08,10.0,10.0,10.0,8.0,0.08,0,0.0,2,988.0,Specialty Coffee Association,2010
31,86.5,Arabica,"Tanzania, United Republic Of",unknown,unknown,unknown,"September 3rd, 2013",Other,8.42,8.17,8.17,8.0,7.58,8.0,10.0,10.0,10.0,8.17,0.11,0,0.0,1,988.0,Specialty Coffee Institute of Asia,2012
32,86.42,Arabica,Brazil,vale da grama,Homero Texeira de Macedo Junior,fazenda recreio,"December 3rd, 2011",Bourbon,8.5,8.17,8.0,7.75,8.0,8.0,10.0,10.0,10.0,8.0,0.12,0,0.0,2,1300.0,NUCOFFEE,2011
33,86.33,Arabica,Costa Rica,west and central valley,Exclusive Coffees S.A.,exclusive coffees s.a.,"December 3rd, 2015",Caturra,8.17,7.83,8.0,8.08,7.83,8.0,10.0,10.0,10.0,8.42,0.0,0,0.0,0,1300.0,Specialty Coffee Association of Costa Rica,2015
34,86.25,Arabica,Ethiopia,oromia,Haider Abamecha Abadiko,haider abamecha coffee plantation,"March 27th, 2015",Other,8.0,8.08,7.92,8.0,8.08,8.08,10.0,10.0,10.0,8.08,0.1,0,0.0,3,1775.0,METAD Agricultural Development plc,2014
35,86.25,Arabica,Kenya,muranga,Kangunu,kangunu,"May 30th, 2014",SL34,8.08,8.0,8.0,8.25,7.92,7.92,10.0,10.0,10.0,8.08,0.12,0,0.0,1,1800.0,Kenya Coffee Traders Association,2013
36,86.25,Arabica,United States,kona,unknown,unknown,"April 6th, 2012",Hawaiian Kona,8.08,8.17,8.0,7.92,7.92,7.83,10.0,10.0,10.0,8.33,0.0,1,0.0,4,518.0,Specialty Coffee Association,2012
37,86.25,Arabica,United States,kona,Kona Pacific Farmers Co-Op,kona pacific farmers cooperative,"January 28th, 2011",Hawaiian Kona,8.25,8.42,8.08,7.75,7.67,7.83,10.0,10.0,10.0,8.25,0.0,2,0.0,1,518.0,Specialty Coffee Association,2010
38,86.25,Arabica,Ethiopia,yirgacheffe,Contact name | ATO Teshome Belamo,"phone number | 0911-51-08-01, email | at","June 17th, 2010",Ethiopian Yirgacheffe,7.92,7.75,8.08,8.08,8.08,8.17,10.0,10.0,10.0,8.17,0.1,0,0.0,2,1875.0,Ethiopia Commodity Exchange,2009
39,86.17,Arabica,Colombia,antioquia,Hugo Sepúlveda Montoya,la primavera,"March 13th, 2015",Other,7.67,8.17,8.0,8.0,8.17,8.08,10.0,10.0,10.0,8.08,0.0,0,0.0,0,1941.0,Almacafé,2014
40,86.17,Arabica,Thailand,chiang rai,ITDP,co-op #12,"April 12th, 2012",Caturra,7.83,8.33,7.83,8.25,7.58,7.92,10.0,10.0,10.0,8.42,0.1,1,0.0,9,1300.0,Specialty Coffee Association,2012
41,86.17,Arabica,Brazil,sul de minas - carmo de minas,Maria Rogeria Costa Pereira,pereira estate coffee,"January 4th, 2011",Yellow Bourbon,8.17,7.92,7.92,7.75,8.33,8.0,10.0,10.0,10.0,8.08,0.08,0,0.0,2,1200.0,Specialty Coffee Association,2010
42,86.17,Arabica,Brazil,sul de minas - carmo de minas,Maria Rogeria Costa Pereira,pereira estate coffee,"January 4th, 2011",Yellow Bourbon,8.42,7.92,8.0,7.75,7.92,8.0,10.0,10.0,10.0,8.17,0.01,0,0.0,3,1200.0,Specialty Coffee Association,2010
43,86.08,Arabica,Taiwan,natou county,LIN YEN CHIEN 林言謙,sunshine valley estate 向陽高山咖啡,"June 10th, 2015",Bourbon,8.08,8.17,7.75,8.08,7.75,7.83,10.0,10.0,10.0,8.42,0.12,0,0.0,0,1000.0,Specialty Coffee Association,2015
44,86.08,Arabica,Kenya,nyeri,JUNGLE ESTATE,jungle estate,"January 29th, 2015",SL28,8.08,8.08,8.0,8.0,7.83,8.08,10.0,10.0,10.0,8.0,0.11,0,0.0,2,1754.0,Kenya Coffee Traders Association,2014
45,86.08,Arabica,Brazil,south of minas,Ralph Junqueira,fazenda kaquend,"December 3rd, 2011",Bourbon,8.33,8.0,8.0,8.0,7.75,8.0,10.0,10.0,10.0,8.0,0.11,0,0.0,2,1250.0,NUCOFFEE,2011
46,86.0,Arabica,Uganda,eastern uganda,Kaasay Farmer Group,kaasayi,"October 1st, 2014",SL14,8.08,8.08,7.83,7.92,8.08,7.92,10.0,10.0,10.0,8.08,0.0,0,0.0,0,1775.0,Uganda Coffee Development Authority,2014
47,86.0,Arabica,Colombia,tolima,unknown,ecobio colombia,"March 20th, 2014",Caturra,7.75,7.92,7.83,8.08,8.08,8.17,10.0,10.0,10.0,8.17,0.12,1,0.0,1,1200.0,Specialty Coffee Association,2013
48,86.0,Arabica,Kenya,kiambu,unknown,kianjavi,"February 6th, 2014",SL28,7.92,8.17,7.83,8.5,7.5,7.92,10.0,10.0,10.0,8.17,0.11,0,0.0,1,1860.0,Specialty Coffee Association,2013
49,86.0,Arabica,Uganda,"sipi, mt elgon",Kawacom,unknown,"February 13th, 2012",Other,8.25,8.0,7.83,8.08,8.0,7.92,10.0,10.0,10.0,7.92,0.1,0,0.0,0,1650.0,Africa Fine Coffee Association,2012
50,86.0,Arabica,Ethiopia,sidamo,Sidama Coffee Farmers Coop. Union,contact | sidacoop@ethionet.net,"June 17th, 2010",Gesha,7.75,8.08,8.0,8.25,8.0,8.0,10.0,10.0,10.0,7.92,0.01,0,0.0,4,1750.0,Ethiopia Commodity Exchange,2009
51,86.0,Arabica,United States,kona,Hula Daddy Kona Coffee,hula daddy kona coffee,"May 31st, 2010",Hawaiian Kona,8.33,8.17,7.75,8.0,7.75,7.83,10.0,10.0,10.0,8.17,0.0,0,0.0,0,426.72,Specialty Coffee Association,2009
52,85.92,Arabica,Guatemala,nuevo oriente,MARGARITA AVILA DE NUYENS,la esperanza y anexos,"May 16th, 2016",Bourbon,7.92,8.08,7.92,8.08,8.08,7.83,10.0,10.0,10.0,8.0,0.1,0,1.0,3,1311.0,Asociacion Nacional Del Café,2016
53,85.92,Arabica,Uganda,eastern,Kawacom (U)Ltd,sipi organic coffee project,"June 30th, 2014",SL14,8.17,8.17,7.92,8.08,7.83,7.75,10.0,10.0,10.0,8.0,0.12,0,0.0,0,1650.0,Uganda Coffee Development Authority,2013
54,85.92,Arabica,Colombia,huila,unknown,unknown,"July 26th, 2013",Caturra,8.0,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,7.92,0.0,1,0.0,0,1800.0,Almacafé,2013
55,85.83,Arabica,Caribbean,boquete,Plinio Ruiz,la berlina estate,"October 9th, 2017",Gesha,8.0,8.0,7.92,8.08,7.83,8.0,10.0,10.0,10.0,8.0,0.08,0,1.0,0,1600.0,Specialty Coffee Association of Costa Rica,2017
56,85.83,Arabica,Ethiopia,oromia,Ibrahim Hussien Specialty Coffee Producer and Exporter,unknown,"April 4th, 2015",Other,7.83,8.08,7.92,8.08,8.0,7.92,10.0,10.0,10.0,8.0,0.1,0,0.0,4,1900.0,METAD Agricultural Development plc,2014
57,85.83,Arabica,Guatemala,acatenango,SERTRASA,valparaiso,"July 3rd, 2012",Bourbon,7.83,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,8.0,0.12,0,0.0,3,1524.0,Asociacion Nacional Del Café,2012
58,85.83,Arabica,Guatemala,nuevo oriente,WILLIAM ESTUARDO MARTINEZ PACHECO,finca el limon,"June 5th, 2012",Catuai,8.0,8.0,7.83,8.33,7.83,7.83,10.0,10.0,10.0,8.0,0.1,0,0.0,1,1417.32,Asociacion Nacional Del Café,2012
59,85.75,Arabica,Ethiopia,addis ababa,seid damtew coffee export and plantation,seid damtew coffee planation,"June 23rd, 2017",Caturra,7.83,8.0,7.83,8.17,7.92,8.0,10.0,10.0,10.0,8.0,0.09,0,4.0,7,1792.0,METAD Agricultural Development plc,2017
60,85.75,Arabica,Peru,cajamarca,unknown,unknown,"January 22nd, 2014",Caturra,8.0,8.0,8.0,8.08,7.92,7.75,10.0,10.0,10.0,8.0,0.1,4,0.0,6,1113.0,Specialty Coffee Association,2013
62,85.58,Arabica,El Salvador,apaneca,Aida Batlle,el majahual,"March 18th, 2013",Bourbon,7.92,8.17,8.0,7.92,7.75,7.83,10.0,10.0,10.0,8.0,0.1,0,0.0,3,1500.0,Specialty Coffee Association,2013
63,85.58,Arabica,El Salvador,"ataco, apaneca - ilamatepec mountain range",Oscar Roberto Murgas Linares,finca la esmeralda,"January 12th, 2013",Bourbon,7.83,8.0,8.0,7.75,7.92,8.17,10.0,10.0,10.0,7.92,0.11,0,0.0,0,1350.0,Specialty Coffee Association,2012
64,85.58,Arabica,United States,kona,unknown,unknown,"April 6th, 2012",Hawaiian Kona,7.83,8.0,7.92,7.75,8.08,8.0,10.0,10.0,10.0,8.0,0.0,0,0.0,1,518.0,Specialty Coffee Association,2012
65,85.5,Arabica,Caribbean,boquete,Lamastus,elida estate,"May 23rd, 2015",Caturra,8.0,7.75,7.83,7.83,7.67,8.58,10.0,10.0,10.0,7.83,0.09,2,0.0,2,1680.0,Blossom Valley International,2014
66,85.5,Arabica,Kenya,kirinyaga,unknown,inoi,"May 23rd, 2015",SL28,7.92,7.92,7.83,8.08,7.83,7.92,10.0,10.0,10.0,8.0,0.1,0,0.0,3,1900.0,Blossom Valley International,2014
67,85.5,Arabica,Ethiopia,oromia,Assefa Belay Coffee Producer,unknown,"March 31st, 2015",Other,7.83,8.0,7.83,7.92,7.83,8.08,10.0,10.0,10.0,8.0,0.12,0,0.0,7,1900.0,METAD Agricultural Development plc,2015
68,85.5,Arabica,Uganda,bulambuli eastern region,Kyagalanyi coffee Ltd,buginyanya,"June 26th, 2014",SL14,8.33,7.92,7.67,7.92,7.67,7.92,10.0,10.0,10.0,8.08,0.12,0,0.0,1,1600.0,Uganda Coffee Development Authority,2013
